BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT,YEAR,QUARTER
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,231619.43,231619.43,2021,1
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9652.25,9652.25,2021,1
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24737.88,24737.88,2021,1
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6821.09,6821.09,2021,1
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7635,7635,2021,1
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,24840.75,24840.75,2021,1
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4448.12,4448.12,2021,1
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,309613.38,309613.38,2021,1
B000825,2021 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,309613.38,309613.38,2021,1
B000825,2021 HON. LAUREN BOEBERT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3001.67,3001.67,2021,1
B000825,2021 HON. LAUREN BOEBERT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3001.67,3001.67,2021,1
B000825,2021 HON. LAUREN BOEBERT,INTERN ALLOWANCES,OFFICE TOTALS:,3001.67,3001.67,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-170.5,-170.5,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,267038.89,267038.89,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1645.14,1645.14,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24434.13,24434.13,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23,23,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6975,6975,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5918.25,5918.25,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1226.87,1226.87,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,307090.78,307090.78,2021,1
B001278,2021 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,307090.78,307090.78,2021,1
B001278,2021 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2336,2336,2021,1
B001278,2021 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2336,2336,2021,1
B001278,2021 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,OFFICE TOTALS:,2336,2336,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-61.95,-61.95,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,204897.21,204897.21,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7399.78,7399.78,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,20545.85,20545.85,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,888,888,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12195,12195,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2138.64,2138.64,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,588,588,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,248590.53,248590.53,2021,1
B001295,2021 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,248590.53,248590.53,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-70.5,-70.5,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,198404.04,198404.04,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4608.48,4608.48,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,8126.23,8126.23,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,20,20,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10725,10725,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,25158.61,25158.61,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,744,744,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,247715.86,247715.86,2021,1
B001312,2021 HON. CAROLYN BOURDEAUX,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,247715.86,247715.86,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,252156.14,252156.14,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,569.11,569.11,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13830.88,13830.88,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1379,1379,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10575,10575,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23901.47,23901.47,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,19668.4,19668.4,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,322080,322080,2021,1
B001223,2021 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,322080,322080,2021,1
B001223,2021 HON. JAMAAL BOWMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5120,5120,2021,1
B001223,2021 HON. JAMAAL BOWMAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5120,5120,2021,1
B001223,2021 HON. JAMAAL BOWMAN,INTERN ALLOWANCES,OFFICE TOTALS:,5120,5120,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,12582.99,12582.99,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,219205.54,219205.54,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5365.83,5365.83,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,39108.08,39108.08,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,115.38,115.38,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11191.02,11191.02,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10827.32,10827.32,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,298396.16,298396.16,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,298396.16,298396.16,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1760,1760,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,1760,1760,2021,1
B001296,2021 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,OFFICE TOTALS:,1760,1760,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,71.57,71.57,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,219186.1,219186.1,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5209.26,5209.26,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,19548.56,19548.56,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1506.25,1506.25,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,13644.34,13644.34,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3828.68,3828.68,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,669,669,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,263663.76,263663.76,2021,1
B000755,2021 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,263663.76,263663.76,2021,1
B000755,2021 HON. KEVIN BRADY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5433.34,5433.34,2021,1
B000755,2021 HON. KEVIN BRADY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5433.34,5433.34,2021,1
B000755,2021 HON. KEVIN BRADY,INTERN ALLOWANCES,OFFICE TOTALS:,5433.34,5433.34,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,177.33,177.33,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,255456.15,255456.15,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8754.9,8754.9,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18976.99,18976.99,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,34.9,34.9,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9235,9235,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1893.64,1893.64,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4109.13,4109.13,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,298638.04,298638.04,2021,1
B001274,2021 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,298638.04,298638.04,2021,1
B001274,2021 HON. MO BROOKS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7833.33,7833.33,2021,1
B001274,2021 HON. MO BROOKS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7833.33,7833.33,2021,1
B001274,2021 HON. MO BROOKS,INTERN ALLOWANCES,OFFICE TOTALS:,7833.33,7833.33,2021,1
B001304,2021 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-70.05,-70.05,2021,1
B001304,2021 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,244494.49,244494.49,2021,1
B001304,2021 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16113.57,16113.57,2021,1
B001304,2021 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10563.21,10563.21,2021,1
B001304,2021 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,531.34,531.34,2021,1
B001304,2021 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,876,876,2021,1
B001304,2021 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,272508.56,272508.56,2021,1
B001304,2021 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,272508.56,272508.56,2021,1
B001304,2021 HON. ANTHONY G. BROWN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1122.22,1122.22,2021,1
B001304,2021 HON. ANTHONY G. BROWN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,1122.22,1122.22,2021,1
B001304,2021 HON. ANTHONY G. BROWN,INTERN ALLOWANCES,OFFICE TOTALS:,1122.22,1122.22,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-18.8,-18.8,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,225035.9,225035.9,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1655.82,1655.82,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16729.22,16729.22,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1604,1604,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8345.53,8345.53,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1411.99,1411.99,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3064.77,3064.77,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,257828.43,257828.43,2021,1
B001285,2021 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,257828.43,257828.43,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-212.55,-212.55,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,247250.19,247250.19,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1639.58,1639.58,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24224.76,24224.76,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19486,19486,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1396.99,1396.99,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1613.68,1613.68,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,295398.65,295398.65,2021,1
B001260,2021 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,295398.65,295398.65,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,83.05,83.05,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,226079.96,226079.96,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9464.19,9464.19,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21114.52,21114.52,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,855,855,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10155,10155,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1628.72,1628.72,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,360,360,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,269740.44,269740.44,2021,1
B001297,2021 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,269740.44,269740.44,2021,1
B001297,2021 HON. KEN BUCK,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5070,5070,2021,1
B001297,2021 HON. KEN BUCK,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5070,5070,2021,1
B001297,2021 HON. KEN BUCK,INTERN ALLOWANCES,OFFICE TOTALS:,5070,5070,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-121.87,-121.87,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,253364.32,253364.32,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1474.79,1474.79,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30661,30661,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6385,6385,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1399.25,1399.25,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1549.8,1549.8,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,294712.29,294712.29,2021,1
B001275,2021 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,294712.29,294712.29,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,172.08,172.08,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,239210.48,239210.48,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7359.19,7359.19,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25808.47,25808.47,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,14691.48,14691.48,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,14279.38,14279.38,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7789.92,7789.92,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8227.72,8227.72,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,317538.72,317538.72,2021,1
B001305,2021 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,317538.72,317538.72,2021,1
B001305,2021 HON. TED BUDD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5020,5020,2021,1
B001305,2021 HON. TED BUDD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5020,5020,2021,1
B001305,2021 HON. TED BUDD,INTERN ALLOWANCES,OFFICE TOTALS:,5020,5020,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,239.65,239.65,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,243026.22,243026.22,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8699.48,8699.48,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16175.64,16175.64,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7284.96,7284.96,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1002.05,1002.05,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1710,1710,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,278138,278138,2021,1
B001309,2021 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,278138,278138,2021,1
B001309,2021 HON. TIM BURCHETT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2640,2640,2021,1
B001309,2021 HON. TIM BURCHETT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2640,2640,2021,1
B001309,2021 HON. TIM BURCHETT,INTERN ALLOWANCES,OFFICE TOTALS:,2640,2640,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,81.92,81.92,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,244304.44,244304.44,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8977.78,8977.78,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15592.55,15592.55,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,66.5,66.5,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11689.99,11689.99,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2847.01,2847.01,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2391.8,2391.8,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,285951.99,285951.99,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,285951.99,285951.99,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5280.03,5280.03,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5280.03,5280.03,2021,1
B001248,2021 HON. MICHAEL C. BURGESS,INTERN ALLOWANCES,OFFICE TOTALS:,5280.03,5280.03,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,62.56,62.56,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,226011.13,226011.13,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1877.1,1877.1,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13784.36,13784.36,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,173.58,173.58,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4796.24,4796.24,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34729.7,34729.7,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4288.15,4288.15,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,285722.82,285722.82,2021,1
B001224,2021 HON. CORI BUSH,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,285722.82,285722.82,2021,1
B001286,2021 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-34.26,-34.26,2021,1
B001286,2021 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,246218.63,246218.63,2021,1
B001286,2021 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3140.3,3140.3,2021,1
B001286,2021 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24045.38,24045.38,2021,1
