BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
D000598,2020 HON. SUSAN A. DAVIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,25000,2370
D000598,2020 HON. SUSAN A. DAVIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,25000,2370
D000598,2020 HON. SUSAN A. DAVIS,INTERN ALLOWANCES,OFFICE TOTALS:,25000,2370
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,48902.22,22365.16
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1062489.4,386020.24
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7343.94,2314.57
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,39403.47,10169.58
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,56302.01,1981.8
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7008.93,3660.93
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,33651.83,16580.16
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11645.44,4917
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1266747.24,448009.44
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1266747.24,448009.44
D000631,2020 HON. MADELEINE DEAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,22326.92,8610
D000631,2020 HON. MADELEINE DEAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,22326.92,8610
D000631,2020 HON. MADELEINE DEAN,INTERN ALLOWANCES,OFFICE TOTALS:,22326.92,8610
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50281.81,136.84
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1146224.99,379999.94
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40329.9,6138.84
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,114708.36,26138.94
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,54314.9,0
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11115.57,6200.25
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,31841.43,27207.04
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8840.43,314
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1457657.39,446135.85
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1457657.39,446135.85
D000191,2020 HON. PETER A. DEFAZIO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17199.48,4980.86
D000191,2020 HON. PETER A. DEFAZIO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17199.48,4980.86
D000191,2020 HON. PETER A. DEFAZIO,INTERN ALLOWANCES,OFFICE TOTALS:,17199.48,4980.86
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2847.32,19.79
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1174921.57,301183.38
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20040.5,3889.84
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,112595.97,33025.98
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13271.04,175
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38856.25,10530
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,62363.7,53303.71
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4148.99,975
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1429045.34,403102.7
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1429045.34,403102.7
D000197,2020 HON. DIANA DEGETTE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6200,0
D000197,2020 HON. DIANA DEGETTE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6200,0
D000197,2020 HON. DIANA DEGETTE,INTERN ALLOWANCES,OFFICE TOTALS:,6200,0
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,734.02,238.78
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1197585.61,343152.17
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14492.98,226.3
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,12.92,12.92
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,92358.99,21217.58
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1213.33,411.47
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38052.03,13651.9
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13481.26,762.09
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3916.67,692.6
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1361847.81,380365.81
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1361847.81,380365.81
D000216,2020 HON. ROSA L. DELAURO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11869.47,8111.12
D000216,2020 HON. ROSA L. DELAURO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,11869.47,8111.12
D000216,2020 HON. ROSA L. DELAURO,INTERN ALLOWANCES,OFFICE TOTALS:,11869.47,8111.12
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,993.01,188.89
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1169099.99,360233.34
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12100.85,1664.61
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,68958.38,22470.29
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3444.12,803
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,980,980
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34443.28,31748.65
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,12206.37,5539.65
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1302226,423628.43
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1302226,423628.43
D000617,2020 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12245,7120
D000617,2020 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12245,7120
D000617,2020 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,OFFICE TOTALS:,12245,7120
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,87626.42,157.75
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,985163.3,261344.43
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20018.45,1668.18
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,105116.21,20331.56
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,119988.65,0
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,43025,11195
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4559.67,609.89
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1246.03,311.56
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1366743.73,295618.37
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1366743.73,295618.37
D000630,2020 HON. ANTONIO DELGADO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6666.67,0
D000630,2020 HON. ANTONIO DELGADO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6666.67,0
D000630,2020 HON. ANTONIO DELGADO,INTERN ALLOWANCES,OFFICE TOTALS:,6666.67,0
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,43721.96,12828.59
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,984229.63,296775.21
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36123.88,7112.15
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,56809.17,20610.22
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,88640.64,51591.9
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27688.75,5725
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,33574.96,25540.86
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2990.99,744
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1273779.98,420927.93
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1273779.98,420927.93
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,31338.1,971.75
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,815767.88,193769.95
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7082.12,0
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,78082.23,13722.47
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,54720.23,1617
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7219.88,2100
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34487.69,19262.57
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7617,1050
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1036315.13,232493.74
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1036315.13,232493.74
D000623,2020 HON. MARK DESAULNIER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8435.55,0
D000623,2020 HON. MARK DESAULNIER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8435.55,0
D000623,2020 HON. MARK DESAULNIER,INTERN ALLOWANCES,OFFICE TOTALS:,8435.55,0
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,23729.62,687.3
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,792639.23,221183.63
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,42552.62,12177.34
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,96650.1,26392.21
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,18332.84,0
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4019.7,-15773.6
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,55681.78,46379.84
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,17716.38,15023.13
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1051322.27,306069.85
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1051322.27,306069.85
D000616,2020 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3083.33,1133.33
D000616,2020 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3083.33,1133.33
D000616,2020 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,OFFICE TOTALS:,3083.33,1133.33
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,603.3,123
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1305965.98,352904.96
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11743.11,1198.3
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,76382.57,16042.09
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6430.53,198
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26077.5,6555
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21874.91,2271.67
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2462.84,510
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1451540.74,379803.02
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1451540.74,379803.02
D000610,2020 HON. THEODORE E. DEUTCH,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18414.46,8745.35
D000610,2020 HON. THEODORE E. DEUTCH,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18414.46,8745.35
D000610,2020 HON. THEODORE E. DEUTCH,INTERN ALLOWANCES,OFFICE TOTALS:,18414.46,8745.35
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14892.32,814.26
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,943135.72,231837.67
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,44667.75,11501.71
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,160614.86,38411.26
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,30028.36,22303.5
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,59369.67,27755
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,33712.92,26340.51
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,23372.59,19882.91
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1309794.19,378846.82
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1309794.19,378846.82
D000600,2020 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7914.3,0
D000600,2020 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7914.3,0
D000600,2020 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,OFFICE TOTALS:,7914.3,0
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,429.28,69.15
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1119713.33,379735.39
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9958.7,2877.42
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,143359.08,28859.17
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3659.52,0
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2740,2580
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,44375.91,38327.18
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16219.48,1350
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1340455.3,453798.31
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1340455.3,453798.31
D000624,2020 HON. DEBBIE DINGELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11534.11,5400
D000624,2020 HON. DEBBIE DINGELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,11534.11,5400
D000624,2020 HON. DEBBIE DINGELL,INTERN ALLOWANCES,OFFICE TOTALS:,11534.11,5400
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,39023.72,11670.21
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1012659.33,284380.65
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8505,946.47
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,152543.66,33755.06
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,20277.63,1631.5
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,56103.75,14280.7
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,45571.18,27899.11
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,22141.13,4313.65
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1356825.4,378877.35
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1356825.4,378877.35
D000399,2020 HON. LLOYD DOGGETT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24441.67,6133.34
D000399,2020 HON. LLOYD DOGGETT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24441.67,6133.34
D000399,2020 HON. LLOYD DOGGETT,INTERN ALLOWANCES,OFFICE TOTALS:,24441.67,6133.34
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1243.88,202.64
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1092817.04,301100
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6650.86,1104
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,117696.09,29083.98
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3439.89,0
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,41223,10287
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15361.66,8807.68
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,18259.08,1621.83
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1296691.5,352207.13
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1296691.5,352207.13
D000482,2020 HON. MICHAEL F. DOYLE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3366.66,0
D000482,2020 HON. MICHAEL F. DOYLE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3366.66,0
D000482,2020 HON. MICHAEL F. DOYLE,INTERN ALLOWANCES,OFFICE TOTALS:,3366.66,0
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1097.35,289.04
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1088895.42,360083.19
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34376.86,10097.7
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,32881.73,7444.14
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,190.7,10.95
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6607.21,245
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,40342.08,32511.16
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,12519.72,9278.97
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1216911.07,419960.15
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1216911.07,419960.15
D000615,2020 HON. JEFF DUNCAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18340,4710
D000615,2020 HON. JEFF DUNCAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18340,4710
D000615,2020 HON. JEFF DUNCAN,INTERN ALLOWANCES,OFFICE TOTALS:,18340,4710
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,52652.4,290.3
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1084334.14,351681.04
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48143.07,14195.24
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,60727.02,11249.94
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,77502.05,12250
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33079.75,29650.75
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7352.12,1611.52
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16390.33,9856.48
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1380180.88,430785.27
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1380180.88,430785.27
D000628,2020 HON. NEAL P. DUNN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2523.38,0
D000628,2020 HON. NEAL P. DUNN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2523.38,0
D000628,2020 HON. NEAL P. DUNN,INTERN ALLOWANCES,OFFICE TOTALS:,2523.38,0
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2187.45,36.28
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,846231.35,246423.85
