BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
B001281,2020 HON. JOYCE BEATTY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2200,0
B001281,2020 HON. JOYCE BEATTY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2200,0
B001281,2020 HON. JOYCE BEATTY,INTERN ALLOWANCES,OFFICE TOTALS:,2200,0
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,239.45,2.79
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,475196.7,238141.7
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7876.28,1942.05
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,29497.2,23650.41
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5073.37,5029.62
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4415.06,351.96
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2972.04,1486.02
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,525270.1,270604.55
B001287,2020 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,525270.1,270604.55
B001287,2020 HON. AMI BERA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7465.66,3259.66
B001287,2020 HON. AMI BERA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7465.66,3259.66
B001287,2020 HON. AMI BERA,INTERN ALLOWANCES,OFFICE TOTALS:,7465.66,3259.66
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,42652.72,38743.74
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,446643.85,236591.66
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24865.26,7232.32
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,29137.03,22112.57
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,86645.7,85353.64
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2855.02,0
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5703.56,4260.96
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7597.32,5749.5
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,646100.46,400044.39
B001301,2020 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,646100.46,400044.39
B001301,2020 HON. JACK BERGMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4233.34,800
B001301,2020 HON. JACK BERGMAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4233.34,800
B001301,2020 HON. JACK BERGMAN,INTERN ALLOWANCES,OFFICE TOTALS:,4233.34,800
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-40.64,-0.78
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,445272.99,221517.39
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,453.99,0
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,49199.25,24599.19
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,466.22,149.12
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,700,0
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10082.33,1391.34
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,498,249
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,506632.14,247905.26
B001292,2020 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,506632.14,247905.26
B001292,2020 HON. DONALD S. BEYER  JR.,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8333.33,4333.33
B001292,2020 HON. DONALD S. BEYER  JR.,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8333.33,4333.33
B001292,2020 HON. DONALD S. BEYER  JR.,INTERN ALLOWANCES,OFFICE TOTALS:,8333.33,4333.33
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17517.06,11472.53
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,439921.48,232990
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23978.71,3944.81
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,42030.49,21856.93
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,40916.57,16197.85
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9807.96,5645
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8944.56,7126.16
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2172,1086
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,585288.83,300319.28
B001302,2020 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,585288.83,300319.28
B001302,2020 HON. ANDY BIGGS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5986.66,1706.66
B001302,2020 HON. ANDY BIGGS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5986.66,1706.66
B001302,2020 HON. ANDY BIGGS,INTERN ALLOWANCES,OFFICE TOTALS:,5986.66,1706.66
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,16916.28,1259.36
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,509612.94,266886.2
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20061.18,8882.78
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,61112.81,43595.1
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,28233.56,28104.56
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21060,10530
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2831.26,1157.66
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1547.05,684.24
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,661375.08,361099.9
B001257,2020 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,661375.08,361099.9
B001257,2020 HON. GUS  M. BILIRAKIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2900,583.33
B001257,2020 HON. GUS  M. BILIRAKIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2900,583.33
B001257,2020 HON. GUS  M. BILIRAKIS,INTERN ALLOWANCES,OFFICE TOTALS:,2900,583.33
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,20.27,27.15
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,332557.5,177173.13
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14824.82,6238.36
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15684.07,12604.54
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,27245.03,25478.21
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11224.67,6557.17
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,27253.4,10643.03
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2987.96,2069.27
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,431797.72,240790.86
B001311,2020 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,431797.72,240790.86
B001311,2020 HON. DAN BISHOP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7996.68,2833.34
B001311,2020 HON. DAN BISHOP,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7996.68,2833.34
B001311,2020 HON. DAN BISHOP,INTERN ALLOWANCES,OFFICE TOTALS:,7996.68,2833.34
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-160.64,4.75
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,376934.37,190673.3
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24358.27,15005.27
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,9267.56,6078.13
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,257.27,129.42
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17650.94,8835.8
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,795.08,483.43
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2132.28,459
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,431235.13,221669.1
B001250,2020 HON. ROB BISHOP,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,431235.13,221669.1
B001250,2020 HON. ROB BISHOP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4900,800
B001250,2020 HON. ROB BISHOP,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4900,800
B001250,2020 HON. ROB BISHOP,INTERN ALLOWANCES,OFFICE TOTALS:,4900,800
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,460.59,198.55
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,444167.7,221239.3
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21190.48,10455.81
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,68190.07,41076.51
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4497,4497
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23054,15419
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8688.99,7803.75
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5207.48,2641.96
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,575456.31,303331.88
B000490,2020 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,575456.31,303331.88
B000490,2020 HON. SANFORD D. BISHOP  JR.,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5899.17,2345
B000490,2020 HON. SANFORD D. BISHOP  JR.,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5899.17,2345
B000490,2020 HON. SANFORD D. BISHOP  JR.,INTERN ALLOWANCES,OFFICE TOTALS:,5899.17,2345
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,53875.05,-2.39
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,547071.61,281631.78
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7388.75,2449.13
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43141.2,23165.89
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,48370.02,164.72
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18087.03,6043.56
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3337.35,2284.52
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4176,3588
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,725447.01,319325.21
B000574,2020 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,725447.01,319325.21
B000574,2020 HON. EARL BLUMENAUER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3773.33,1500
B000574,2020 HON. EARL BLUMENAUER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3773.33,1500
B000574,2020 HON. EARL BLUMENAUER,INTERN ALLOWANCES,OFFICE TOTALS:,3773.33,1500
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,324.29,183.72
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,496294.49,251380.57
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5408.04,659.14
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,31895.46,28467.29
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1450.4,0
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7498.21,4845
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4740.63,1410.13
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1368.32,817
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,548979.84,287762.85
R000360,2020 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,548979.84,287762.85
R000360,2020 HON. LISA BLUNT ROCHESTER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10906.91,5941.45
R000360,2020 HON. LISA BLUNT ROCHESTER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,10906.91,5941.45
R000360,2020 HON. LISA BLUNT ROCHESTER,INTERN ALLOWANCES,OFFICE TOTALS:,10906.91,5941.45
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10193.16,9966.87
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,523252.71,265583.29
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9087.52,4566.23
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,11375.68,6755.71
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,21800.05,21376.8
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,301.05,0
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3718.29,1530.19
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4903.54,4312.54
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,584632,314091.63
B001278,2020 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,584632,314091.63
B001278,2020 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7109.3,0
B001278,2020 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7109.3,0
B001278,2020 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,OFFICE TOTALS:,7109.3,0
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14984.82,14717.46
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,420030.57,212375.01
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11293.47,4054.53
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,28504.72,19749.86
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,14891.87,14831.92
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3240,1820
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3796.82,922.62
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1176,588
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,497918.27,269059.4
B001295,2020 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,497918.27,269059.4
B001295,2020 HON. MIKE BOST,INTERN ALLOWANCES,PERSONNEL COMPENSATION,800,66.67
B001295,2020 HON. MIKE BOST,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,800,66.67
B001295,2020 HON. MIKE BOST,INTERN ALLOWANCES,OFFICE TOTALS:,800,66.67
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,23540.86,0
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,390343.01,198812.48
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17692.03,6305.47
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,73281.23,38781.45
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,59669.68,21102.73
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23623.04,10981.57
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17277.45,3103.7
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,605427.3,279087.4
B001296,2020 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,605427.3,279087.4
B001296,2020 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7293,4290
B001296,2020 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7293,4290
B001296,2020 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,OFFICE TOTALS:,7293,4290
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,456.14,2.75
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,431053.86,226381.68
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14381,3962.09
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,11532.58,6176.94
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,39.95,0
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,720,720
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4144.01,1976.86
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3258.34,669
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,465585.88,239889.32
B000755,2020 HON. KEVIN BRADY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,465585.88,239889.32
B000755,2020 HON. KEVIN BRADY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3100.02,1066.68
B000755,2020 HON. KEVIN BRADY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3100.02,1066.68
B000755,2020 HON. KEVIN BRADY,INTERN ALLOWANCES,OFFICE TOTALS:,3100.02,1066.68
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,5881.36,958.69
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,510652.87,264083.37
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13582.36,2484.71
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,36448.03,31827.07
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,20195.66,6406.24
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20824,10537
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3810.52,1359.69
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1883.51,959.84
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,613278.31,318616.61
B001308,2020 HON. ANTHONY BRINDISI,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,613278.31,318616.61
B001308,2020 HON. ANTHONY BRINDISI,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3708.7,0
B001308,2020 HON. ANTHONY BRINDISI,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3708.7,0
B001308,2020 HON. ANTHONY BRINDISI,INTERN ALLOWANCES,OFFICE TOTALS:,3708.7,0
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-48.32,-73.24
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,492927.98,246495.87
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12200.7,5745.55
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14973.24,11768.11
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3478.45,3320.05
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11370,5685
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4768.72,3692.42
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1773.15,1303.15
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,541443.92,277936.91
B001274,2020 HON. MO BROOKS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,541443.92,277936.91
B001274,2020 HON. MO BROOKS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6200,1866.67
B001274,2020 HON. MO BROOKS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6200,1866.67
B001274,2020 HON. MO BROOKS,INTERN ALLOWANCES,OFFICE TOTALS:,6200,1866.67
B001284,2020 HON. SUSAN W. BROOKS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,561.8,291.94
B001284,2020 HON. SUSAN W. BROOKS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,539576.83,288679.95
B001284,2020 HON. SUSAN W. BROOKS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18658.79,6221.5
B001284,2020 HON. SUSAN W. BROOKS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14769.5,8331.28
B001284,2020 HON. SUSAN W. BROOKS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,463.48,163.68
